marka,seri,model,kasa_tipi
Fiat,Uno,1.4 ie SX,Hatchback/5
Tesla,Model Y,Performance,Hatchback/5
Hyundai,i10,1.2 MPI Style,Hatchback/5
Fiat,Linea,1.3 Multijet Active Plus,Station wagon
Toyota,Corolla,1.6 Vision,Sedan
Opel,Crossland,1.5 T Edition,SUV
BMW,3 Serisi,320i Luxury Line,Sedan
Mazda,323,1.5 Familia,Hatchback/5
Fiat,Tempra,1.6 SX SW,Station wagon
Fiat,Palio,1.2 EL Speedgear,Hatchback/5
Peugeot,3008,1.6 HDi Premium Pack,SUV
BMW,2 Serisi,218i Gran Coupe First Edition Luxury Line,Coupe
BMW,3 Serisi,320d Technology,Sedan
Peugeot,2008,1.2 Hybrid Allure,SUV
Fiat,Tempra,1.6 SX AK,Sedan
Chevrolet,Aveo,1.2 LS,Hatchback/5
Chevrolet,Aveo,1.2 SE,Sedan
BMW,2 Serisi,218i Active Tourer Luxury Line,MPV
Fiat,Egea,1.3 Multijet Mirror,Hatchback/5
Toyota,Corolla,1.6 Dream,Sedan
Land Rover,Range Rover Sport,3.0 SDV6 HSE,SUV
Ford,Kuga,1.5 TDCi Style,SUV
Peugeot,3008,1.5 BlueHDI Active Life Sky Pack,SUV
Mercedes - Benz,C,C 180 Kompressor BlueEfficiency Avantgarde,Sedan
Peugeot,3008,1.5 BlueHDI GT Line,SUV
Kia,Sorento,2.5 CRDi EX Premium,SUV
Volkswagen,Polo,1.4 Basicline,Hatchback/5
Mercedes - Benz,GLA,200 AMG Plus,SUV
Nissan,X-Trail,1.5 DIG-T Platinum,SUV
BMW,3 Serisi,318i 40th Year Edition,Sedan
Citroen,C-Elysée,1.6 HDi Feel,Sedan
Mercedes - Benz,C,C 200 Exclusive,Sedan
Fiat,Palio,1.2 SL,-
Ford,C-Max,1.6 TDCi Titanium X,MPV
Ford,C-Max,1.5 TDCi Titanium,MPV
Renault,Megane,1.5 dCi Privilege,Hatchback/5
Opel,Grandland X,1.2 EcoTEC Enjoy Black Edition,SUV
Volvo,XC60,2.0 D4 Advance,SUV
Renault,Clio,1.5 BlueDCI Touch,Hatchback/5
BMW,3 Serisi,318i Joy,Sedan
Skoda,Fabia,1.4 TDI Ambiente,Sedan
Nissan,Qashqai,1.3 DIG-T N-Connecta,SUV
Ford,C-Max,1.6 TDCi Ghia,MPV
Alfa Romeo,Giulietta,1.4 TB Distinctive,Hatchback/5
Hyundai,Kona,Electric Advance,SUV
BMW,3 Serisi,320i Cabrio,Cabrio
Volkswagen,Polo,1.6 TDi Trendline,Hatchback/5
BMW,i Serisi,i5 M60 xDrive,Sedan
Toyota,Hilux,2.4 D-4D 4x2 Adventure,Pick-Up
Chevrolet,Aveo,1.4 LTZ,Hatchback/5
Volvo,XC40,1.5 T3 Momentum,SUV
Chevrolet,Kalos,1.4 SE,Hatchback/5
BMW,1 Serisi,116d Sport Line,Hatchback/5
Skoda,Fabia,1.0 GreenTec Ambition,Hatchback/5
Audi,A4,A4 Sedan 45 TFSI Quattro Advanced,Sedan
Volvo,XC40,P6 Recharge Pure Electric Ultimate,SUV
Nissan,Navara,2.3 dCi 4x4,SUV
Ford,Focus,1.6 Ti-VCT Titanium,Hatchback/5
Dacia,Sandero Stepway,1.0 Tce Essential,Hatchback/5
Fiat,Palio,1.4 Fire Active,Hatchback/5
Opel,Astra,1.4 T GS Line,Hatchback/5
Opel,Grandland,1.5 D Ultimate,SUV
Fiat,Uno,70 SL,Hatchback/5
Land Rover,Range Rover Sport,3.0 SDV6 Autobiography,SUV
Peugeot,3008,1.5 BlueHDI GT Line Dynamic,SUV
Dacia,Duster,1.0 Tce ECO-G Essential,SUV
Jeep,Compass,1.4 Limited,SUV
Audi,Q7,3.0 TDI Quattro,SUV
Toyota,Corolla,1.6 Life,Sedan
Mercedes - Benz,A,A 200 BlueEfficiency AMG,Hatchback/5
Hyundai,Bayon,1.2 MPI Jump,SUV
Hyundai,Bayon,1.0 T-GDI Elite,SUV
Seat,Cordoba,1.4 Stella,Sedan
Fiat,Punto,EVO 1.4 Fire My Life,Hatchback/5
Fiat,Palio,1.4 RT,Hatchback/5
Land Rover,Range Rover Sport,2.7 TDV6 SE,SUV
Seat,Leon,1.5 EcoTSI Style,Hatchback/5
Audi,A3,A3 Sportback 30 TDI Dynamic,Hatchback/5
Fiat,Siena,1.2 EL,Sedan
Tesla,Model Y,Standart Range,-
Renault,Megane,1.6 Sportway,Sedan
Ford,Focus,1.5 TDCi Trend X,Hatchback/5
Peugeot,2008,1.6 BlueHDI Allure,SUV
Peugeot,2008,1.2 PureTech Active Prime,SUV
Citroen,C3,1.4 SX,Hatchback/5
Peugeot,301,1.2 PureTech Active,Sedan
Citroen,C4,1.2 PureTech Shine Bold,SUV
Audi,A3,A3 Sportback 1.2 TFSI Attraction,Hatchback/5
Land Rover,Range Rover,2.0 PHEV Vogue,SUV
Suzuki,Swift,1.2 Hibrit Pulse,Hatchback/5
Suzuki,Alto,1.1 GLX,Hatchback/5
Chery,Omoda 5,1.6 TGDI Comfort,SUV
Volkswagen,Bora,1.6 Comfortline Variant,Station wagon
Peugeot,3008,1.6 HDi Allure,SUV
Mercedes - Benz,E,250 CDI AMG,Coupe
Tesla,Model Y,Long Range AWD,Hatchback/5
Toyota,Corolla,1.4 D-4D Premium 50.Yıl,Sedan
Renault,Clio,1.6 RXT,Hatchback/5
Ford,Puma,1.0 EcoBoost ST Line,SUV
Fiat,Punto,Grande 1.3 Multijet 1.3 Multijet,Hatchback/5
Citroen,C4 Picasso,1.6 HDi Dynamique,MPV
Ford,Fiesta,1.4 TDCi My Fiesta,Hatchback/5
Toyota,Corolla,1.6 XLi,Sedan
Citroen,C3,1.4 X Furio,Hatchback/5
Fiat,Palio,1.3 Multijet Dynamic Sole,Hatchback/5
Honda,HR-V,1.5 e-HEV Advance,SUV
Toyota,Corolla,1.8 Hybrid Passion X-Pack,Sedan
Ford,Escort,1.6 CLX,Sedan
Toyota,Corolla,1.5 Passion X-Pack,Sedan
Peugeot,308,1.2 PureTech Allure,Hatchback/5
Ford,Focus,1.0 GTDi Titanium,Hatchback/5
Volvo,XC40,1.5 T2 Plus Dark,SUV
Fiat,Punto,EVO 1.4 Active,Hatchback/3
BMW,X1,16i sDrive X Line,SUV
BMW,4 Serisi,428i xDrive Gran Coupe M Sport,Coupe
Hyundai,Accent,1.3 Admire,Sedan
Hyundai,Accent Blue,1.4 CVVT Prime,Sedan
BMW,3 Serisi,330Ci,Coupe
Hyundai,i20 Troy,1.4 CRDi Mode,Hatchback/5
Renault,Scenic,1.6 RXT,MPV
Fiat,500 X,1.4 T Cross Plus,SUV
BMW,4 Serisi,420d M Sport,Coupe
Dacia,Lodgy,1.6 SCE Eco-G Ambiance,MPV
Peugeot,307,1.6 XT,Hatchback/5
Renault,Clio,1.6 RTE,Hatchback/5
Renault,Clio,1.4 RTA,Hatchback/5
Chevrolet,Aveo,1.2 S,Sedan
Chevrolet,Aveo,1.4 SX,Hatchback/5
Renault,Clio,0.9 TCe Icon,Station wagon
Mercedes - Benz,X,X 250 d Power,Hard top
Renault,Latitude,1.5 dCi Privilege,Sedan
Ford,Focus,1.0 EcoBoost Active X,Hatchback/5
Fiat,Albea,Sole 1.4 Fire Dynamic Plus,Sedan
Citroen,Saxo,1.6 SX,Hatchback/5
Nissan,Juke,1.6 Skypack,SUV
Cupra,Formentor,1.5 e-TSI Mhev Standart,SUV
Cupra,Ateca,1.5 TSI,SUV
Skoda,Octavia,1.5 Mhev Premium,Sedan
Peugeot,308,1.6 VTi Comfort,Hatchback/5
Opel,Mokka,1.6 CDTI Cosmo,SUV
Renault,Clio,1.5 dCi Authentique,Hatchback/3
Opel,Grandland X,1.2 EcoTEC Ultimate,SUV
Opel,Astra,1.6 GL,Hatchback/5
Hyundai,ix35,2.0 R Style Plus,SUV
Peugeot,3008,1.6 BlueHDi Active,SUV
Fiat,Albea,1.6 Dynamic,Sedan
Fiat,Palio,1.2 Active,Hatchback/5
Fiat,Topolino,Bilinmiyor,Coupe
Ford,Focus,1.5 TDCi Style,Sedan
Volkswagen,Amarok,2.0 TDI Trendline,SUV
Renault,R 19,1.4 Europa RN,Hatchback/5
Audi,Q5,40 TDI Quattro Advanced,SUV
Fiat,Palio,1.4 Fire Premio Sole,Hatchback/5
BMW,i Serisi,i8 Premium Techno,Coupe
Chevrolet,Aveo,1.2 S,Hatchback/5
Peugeot,2008,1.5 BlueHDI Active Prime,SUV
Fiat,Tipo,1.4 DGT,Hatchback/5
Ford,Focus,1.6 Trend,Hatchback/3
Volkswagen,Touareg,3.0 TDI R-Line,SUV
Ford,Focus,2.0 Ghia,Sedan
Fiat,Marea,1.6 Exclusive,Sedan
Citroen,C3,1.2 PureTech Feel Adventure,Hatchback/5
Kia,XCeed,1.5 T-GDI Prestige,SUV
Volvo,XC60,2.0 T8 Hybrid Polestar,SUV
Kia,Ceed,1.5 T-GDI Elegance Plus,Hatchback/5
Nissan,Qashqai,1.6 Tekna Executive,SUV
Fiat,Uno,60 S,Hatchback/3
Fiat,500 X,1.3 FireFly Sport,SUV
Peugeot,206,1.4 XR,Hatchback/5
Renault,Megane,1.4 Authentique,Sedan
Seat,Ibiza,1.4 Stylance,Hatchback/5
Nissan,Juke,1.5 dCi Visia,SUV
Jeep,Compass,2.0 Limited,SUV
Audi,A3,A3 Sedan 1.4 TFSI Attraction,Sedan
Audi,A3,A3 Sedan 1.2 TFSI Attraction,Sedan
Audi,A3,A3 Sedan 30 TFSI Advanced,Sedan
Toyota,RAV4,2.0,SUV
Ford,Focus,1.5 TDCi Active X,Hatchback/5
Volkswagen,Passat,1.8 Comfortline,Sedan
Fiat,Punto,1.2 Pop,Hatchback/5
Ford,Focus,1.0 EcoBoost Titanium Stil,Hatchback/5
Opel,Corsa,1.4 Swing,Hatchback/3
Ford,Escort,1.6 CLX,Station wagon
Fiat,Punto,1.3 Multijet Shine,Hatchback/5
Fiat,Palio,1.2 Go,Hatchback/5
Ford,C-Max,1.5 Titanium,MPV
Volkswagen,Polo,1.6,Hatchback/3
Renault,Duster,1.2 Mhev,SUV
Tesla,Model Y,Standart Range,Hatchback/5
Ford,Focus,1.0 GTDi Style,Sedan
Opel,Astra,1.6 CDTI Edition Plus,Sedan
Renault,R 12,Toros,Sedan
Renault,R 19,1.6 Europa RT,Sedan
Renault,Clio,1.2 Extreme,Hatchback/5
Skoda,Octavia,1.5 e-Tec Sportline,Sedan
Chevrolet,Epica,D LT,Sedan
Fiat,Egea,1.3 Multijet Street,Hatchback/5
Citroen,AMİ,My Ami Electric,Coupe
Citroen,C-Elysée,1.6 BlueHDI Shine,Sedan
Hyundai,i10,1.1 Team,Hatchback/5
Hyundai,Accent Era,1.5 CRDi-VGT Style,Sedan
Hyundai,i30,1.6 CRDi Team,Hatchback/5
Ford,Focus,1.5 TDCi Titanium,Hatchback/5
Tata,Telcoline,4x2 Çift Kabin,SUV
Ford,Focus,1.6 TDCi Trend,Hatchback/5
Honda,Accord,2.0 LS,Sedan
Ford,Focus,1.5 TDCi Style,Hatchback/5
Ford,Focus,1.5 TDCi Active Stil,Hatchback/5
Volkswagen,Jetta,1.4 TSi BlueMotion Comfortline,Sedan
Ford,Focus,1.5 EcoBlue Trend X,Hatchback/5
Fiat,Egea Cross,1.6 Multijet Urban,Crossover
Volkswagen,Golf,1.6 Trendline,Hatchback/5
Fiat,Bravo,1.4 T-Jet Dynamic Plus,Hatchback/5
BMW,3 Serisi,318d Premium,Sedan
BMW,3 Serisi,318d Prestige,Sedan
Volkswagen,Golf,1.5 TSi Comfortline,Hatchback/5
Ford,Focus,1.0 GTDi Style,Hatchback/5
Fiat,Egea,1.4 T-Jet Lounge Plus,Sedan
Audi,A3,A3 Sportback 30 TFSI S-Line,Hatchback/5
Chrysler,300 C,3.5,Sedan
Audi,A3,A3 Sportback 1.6 TDI Dynamic,Hatchback/5
Alfa Romeo,Tonale,1.5 VGT Veloce,SUV
Ford,Focus,1.6 TDCi Style,Hatchback/5
Citroen,C3,1.4 Attraction,Hatchback/5
BMW,X3,20i sDrive,SUV
Audi,A3,A3 Sedan 1.6 TDI Dynamic,Hatchback/5
Ford,Fiesta,1.4 TDCi Cool,Hatchback/5
Ford,Escort,1.8 CLX,Sedan
Audi,A3,A3 Sportback 1.6 Ambiente,Hatchback/5
Citroen,Xsara,1.4 HDi,Hatchback/5
Dacia,Duster,1.5 dCi Comfort,SUV
Dacia,Logan,1.4,Sedan
BMW,X5,30d,SUV
Opel,Astra-e,Ultimate,Hatchback/5
Audi,A1,1.4 TFSI Attraction,Hatchback/3
Fiat,600,E La Prima,SUV
Ford,Fusion,1.4 TDCi Comfort,Hatchback/5
Chevrolet,Lacetti,1.6 WTCC,Hatchback/5
Fiat,Egea,1.6 Multijet Urban Plus,Station wagon
Ford,Mondeo,2.0 Trend,Sedan
Jeep,Cherokee,2.8 CRD Limited,SUV
Ford,Focus,1.5 TDCi Trend X,Hatchback/3
Chrysler,Neon,2.0 LE,Sedan
Citroen,C2,1.4 HDi X Pack,Hatchback/3
Kia,Stonic,1.0 T-GDI Cool,SUV
Ford,EcoSport,1.0 EcoBoost Style,SUV
Mercedes - Benz,E,200 CGI BlueEFFICIENCY Avantgarde,Sedan
Ford,Focus,1.6 TDCi Trend,Station wagon
Nissan,Micra,1.2 Punch,Hatchback/5
Opel,Astra,1.4 Essentia,Hatchback/5
Honda,HR-V,4WD,SUV
Ford,Mondeo,2.0 TDCi Trend,Sedan
Ssangyong,Musso Grand,2.2 D Edition,Hard top
Opel,Corsa,1.2 Enjoy,Hatchback/5
Mercedes - Benz,GLB,200 AMG 4Matic,SUV
Ford,Mondeo,1.6 TDCi Titanium,Sedan
Mercedes - Benz,GLE Coupe,300 d 4Matic AMG,SUV
Fiat,Marea,1.6 ELX,Sedan
Ford,Ranger,2.0 EcoBlue 4x4 Wildtrak X,Hard top
Land Rover,Range Rover Sport,3.0 SDV6 HSE Dynamic,SUV
Nissan,Qashqai,1.6 dCi Visia,SUV
Honda,City,1.4 Comfort,Sedan
Geely,Familia,1.5 Comfort,Sedan
Honda,City,1.4 ES,Sedan
Audi,A3,A3 Cabrio 1.4 TFSI Attraction,-
Ford,Mondeo,1.6 Trend,Sedan
Ford,Fusion,1.6,Hatchback/5
DS Automobiles,DS9,1.6 PureTech Opera,Sedan
Fiat,Bravo,1.4 Multiair Sport Style,Hatchback/5
Audi,A3,A3 Sportback 1.2 TFSI Ambiente,Hatchback/5
Audi,A3,A3 Sedan 35 TFSI Advanced,Hatchback/5
Peugeot,508,1.5 BlueHDI GT Selection,Sedan
Geely,Echo,1.3 Comfort,Sedan
Ford,Fiesta,1.4 Fun,Hatchback/5
Hyundai,Kona,1.6 CRDI Smart,SUV
Fiat,Albea,1.2 SL,Sedan
Nissan,X-Trail,1.5 DIG-T Platinum Premium,SUV
Jeep,Compass,1.5 Hybrid S Limited,SUV
Ford,Mondeo,1.5 Ecoboost Style,Sedan
Ford,Focus,1.0 EcoBoost Titanium X,Hatchback/5
Jaguar,XE,2.0 Prestige,Sedan
BMW,5 Serisi,530i Executive M,Sedan
Fiat,Egea,1.6 Multijet Urban,SUV
Ford,Mustang,2.3 Fastback,Coupe
Kia,Sportage,1.6 GSL,SUV
BMW,4 Serisi,418i Gran Coupe Joy,Coupe
Honda,Civic,1.6i VTEC LS Elegance,Sedan
Nissan,X-Trail,2.0 Sport,SUV
Land Rover,Discovery,2.0 SD4 HSE,SUV
Ford,Focus,1.5 TDCi Titanium X,Hatchback/5
TOGG,T10X,V1,SUV
Fiat,Tempra,1.6 ie SLX,Sedan
Honda,Accord,2.0 Executive,Sedan
Chevrolet,Aveo,1.3 D LTZ,Hatchback/5
Toyota,Corolla Cross,1.8 Hybrid Flame,SUV
Toyota,C-HR,1.2 Turbo Advance,SUV
Kia,Rio,1.4 CRDi Concept,Hatchback/5
Kia,Cerato,1.6 CRDi Concept Techno,Sedan
Honda,City,1.4 Elite,Sedan
Volkswagen,Tiguan,1.4 TSI Fun&Function,SUV
Volvo,S80,1.6 D Advance,Sedan
Fiat,Fullback,2.4 D Fullrock,Pick-Up
Ford,Focus,1.6 TDCi Collection,Station wagon
Peugeot,3008,1.6 BlueHDi Allure,SUV
Ford,Focus,1.6 Trend,Sedan
BMW,iX1,eDrive20 Sport Line,SUV
Volkswagen,Tiguan,1.4 TSI Trendline,SUV
Honda,Civic,1.6i DTEC Executive,Sedan
Audi,A3,A3 Sportback 1.6 Ambition,Hatchback/5
Renault,Captur,1.3 TCe Touch,Crossover
Renault,Captur,1.3 TCe Icon,SUV
Seat,Arona,1.0 EcoTSI Xcellence,SUV
Ford,Fusion,1.4 TDCi 5K,Hatchback/5
Skoda,Kamiq,1.6 TDI Premium,SUV
Volkswagen,Amarok,2.0 TDI Style,Hard top
Honda,Accord,2.4 Executive,Sedan
Hyundai,Accent Era,1.5 CRDi Mode,Sedan
BMW,i Serisi,i4 eDrive 40 M Sport,Coupe
Nissan,Qashqai,1.3 DIG-T Platinum Premium,SUV
Citroen,C4 Picasso,1.6 e-HDi Dynamic,MPV
Volkswagen,Tiguan,2.0 TDI Highline,SUV
Ford,Mondeo,1.6 TDCi Selective,Sedan
Honda,Civic,1.6i VTEC Black Edition,Sedan
Volkswagen,Tayron,1.5 e-TSI R Line,SUV
Opel,Meriva,1.4 T Enjoy,MPV
Citroen,C4,1.6 BlueHDi Exclusive,Hatchback/5
Ford,Mondeo,1.5 Style,Sedan
Volvo,S40,1.6 D Dynamic,Sedan
Renault,Symbol,1.0 SCe Joy,Sedan
Fiat,Egea,1.6 E-Torq Lounge Plus,Hatchback/5
Audi,A3,A3 Sportback 1.5 TFSI 1,Hatchback/5
Honda,Accord,2.0 EX,Sedan
BMW,3 Serisi,318ti Compact,Hatchback/3
Ford,Focus,1.0 EcoBoost Active Stil,Hatchback/5
Opel,Mokka X,1.6 CDTI Enjoy,SUV
Ford,Focus,1.0 EcoBoost ST Line,Hatchback/5
Ford,Focus,1.0 GTDi Trend X,Sedan
BMW,3 Serisi,316i Standart,Hatchback/3
Volvo,V40 Cross Country,1.6 T4 Premium,Hatchback/5
Audi,A3,A3 Sportback 1.4 TFSI,Hatchback/5
Volvo,S40,2.0,Sedan
Peugeot,2008,1.5 BlueHDI Active,SUV
Jeep,Renegade,1.4 MultiAir Longitude,SUV
Chery,Tiggo 8 Pro,1.6 TGDI Luxury,SUV
Hyundai,Tucson,1.6 CRDi Smart,SUV
Jeep,Renegade,1.3 T Limited,SUV
Mini,Cooper,1.6 Türkiye Paketi,Coupe
Ford,Focus,1.6 TDCi Trend X,Station wagon
Honda,Jazz,1.4 Joy,Hatchback/5
Ford,Fiesta,1.6 Ghia,Hatchback/5
Renault,Koleos,1.3 TCe Icon,SUV
Chevrolet,Corvette,C5,Coupe
Audi,A4,A4 Sedan 2.0,Sedan
BMW,3 Serisi,320d xDrive Sport Line,Sedan
Opel,Astra,1.3 CDTI Edition Plus,Hatchback/5
DS Automobiles,DS4,1.5 BlueHDi Pallas,Hatchback/5
Dacia,Sandero,1.5 dCi Black Line,Hatchback/5
Citroen,C2,1.4 HDi SX,Hatchback/3
Toyota,Auris,1.4 D-4D Elegant,Hatchback/5
Honda,Jazz,1.4 LS,Hatchback/5
Toyota,C-HR,1.2 Turbo Advance,Crossover
BMW,3 Serisi,320d xDrive Comfort Plus,Sedan
Hyundai,Elantra,1.6 MPI Smart,Sedan
Hyundai,Accent,1.5 GL,Sedan
Fiat,500 Ailesi,500L 1.6 Mjet RockStar,MPV
Audi,A5,A5 Sportback 2.0 TDI,Sedan
Fiat,Linea,1.4 Fire Dynamic,Sedan
Opel,Corsa,1.2 Essential,Hatchback/5
Opel,Corsa,1.5 CDTI Innovation,Hatchback/5
Ford,Focus,1.6 TDCi Titanium,Station wagon
Volkswagen,Tiguan,1.4 TSI R-Line,SUV
Volvo,XC60,2.0 D3 Premium,SUV
Kia,Rio,1.4 EX Advance,Sedan
Peugeot,508,1.5 BlueHDI Allure,Sedan
Kia,Rio,1.4 WGT Cool,Hatchback/5
Ford,Fiesta,1.25 Ghia,Hatchback/5
Honda,Accord,1.5 VTEC Executive,Sedan
Opel,Astra,1.4 T Cosmo,Sedan
Mini,Cooper,1.6 Türkiye Paketi,-
Opel,Astra,1.6 CDTI Elite,Sedan
Hyundai,i20 N,1.6 T-GDI,Hatchback/5
Hyundai,i30,1.6 CRDi Elite Plus,Hatchback/5
Mini,Cooper,1.5 Signature,Hatchback/3
Toyota,Corolla,1.4 D-4D Active,Sedan
Hyundai,i20,1.2 MPI Style,Hatchback/3
Peugeot,206,1.4 XT,Hatchback/3
Kia,Cerato,1.6 EX Premium,Sedan
Kia,Rio,1.5 CRDi EX Advance,Sedan
Nissan,Micra,1.0 IG-T Tekna,Hatchback/5
Hyundai,i10,1.0 D-CVVT Jump,Hatchback/5
Opel,Astra,1.6 CDTI Elite,Hatchback/5
Honda,Civic,1.6i DTEC Elegance,Hatchback/5
Maserati,Quattroporte,4.2 Automatica,Sedan
Nissan,Pulsar,1.2 Tekna,Hatchback/5
Audi,A3,A3 Sportback 1.6 FSI,Hatchback/5
Mercedes - Benz,CLE,300 AMG,Coupe
Nissan,Primera,1.6 Comfort,Sedan
Peugeot,307,1.6 HDi Comfort,Hatchback/5
BMW,5 Serisi,530d Standart,Sedan
Hyundai,Sonata,2.0 GLS,Sedan
Mercedes - Benz,C,C 180 Exclusive,Sedan
Kia,Picanto,1.0 MPI Live,Hatchback/5
Hyundai,Accent Era,1.4 Expo Gold,Sedan
Mercedes - Benz,C,C 180 BlueEFFICIENCY Selection Plus,Sedan
Mercedes - Benz,C,C 180 BlueEFFICIENCY Fascination,Sedan
Peugeot,207,1.4 Trendy,Hatchback/5
Mercedes - Benz,C,C 200 Edition 1 AMG,Sedan
Fiat,Egea,1.5 T4 Easy,Sedan
Hyundai,Atos,1.0 GLS,Hatchback/5
BMW,1 Serisi,116d ED Joy Plus,Hatchback/5
Opel,Astra,1.3 CDTI ecoFLEX Enjoy Plus,Hatchback/5
Hyundai,i30,1.6 CRDi CW Elite,Station wagon
Mercedes - Benz,A,A 180 d Style,Hatchback/5
Audi,A3,A3 Cabrio 1.6,Hatchback/3
Kia,Rio,1.5 CRDi EX Comfort,Hatchback/5
BMW,3 Serisi,320Ci,Coupe
Kia,Rio,1.4 CVVT Comfort,Hatchback/5
Citroen,C4 Grand Picasso,1.6 HDi Dynamic,MPV
Hyundai,i20 Troy,1.2 DOHC Mode,Hatchback/5
Hyundai,Elantra,1.6 D-CVVT Tune,Sedan
BMW,1 Serisi,116d Urban Plus,Hatchback/5
Hyundai,i20 Troy,1.2 Start,Hatchback/5
Audi,A3,A3 Hatchback 1.6 Ambiente,Hatchback/3
Hyundai,i30,1.6 GDi Style,Hatchback/5
Fiat,Palio,1.3 Multijet SL,Hatchback/5
Opel,Astra,1.4 T Cosmo,Hatchback/5
Mercedes - Benz,E,240 Classic,Sedan
Chevrolet,Cruze,1.4 T Sport,Hatchback/5
Peugeot,208,1.2 VTi Active,Hatchback/5
Opel,Astra,1.3 CDTI Business,Sedan
Audi,A3,A3 Sportback 1.6 Sportback Standart,Hatchback/5
Opel,Astra,1.6 Classic,Sedan
Audi,A3,A3 Hatchback 1.6 TDI Ambition,Hatchback/3
Audi,A3,A3 Sportback 1.0 TFSI Design Line,Hatchback/5
Hyundai,Accent,1.3 GLS,Sedan
Opel,Astra,1.6 CD,Sedan
Opel,Corsa,1.4 GLS,Hatchback/5
Mercedes - Benz,E,180 Style,Sedan
Mercedes - Benz,C,C 180 Kompressor BlueEfficiency AMG,Sedan
Volkswagen,New Beetle,1.2 TSi Design,Hatchback/3
Citroen,Xsara,1.8 SX,Hatchback/5
Renault,Clio,1.5 dCi SportTourer Touch,Station wagon
Hyundai,Accent,1.3 LS,Sedan
Renault,Megane,1.5 Blue DCI Joy Comfort,Sedan
Mitsubishi,Lancer,1.6 Invite,Hatchback/5
Renault,R 19,1.4 Europa RNA,Sedan
Toyota,Corolla,1.4 D-4D Terra,Sedan
Hyundai,Accent,1.5 1.5i GLS,Sedan
Opel,Insignia,1.6 T Cosmo,Sedan
Skoda,SuperB,1.6 TDI Elite,Sedan
Peugeot,407,2.0 Executive,Sedan
Volkswagen,Jetta,1.4 TSi Exclusive,Sedan
Ford,S-Max,2.0 TDCi Titanium,MPV
Opel,Astra,1.3 CDTI ecoFLEX Cosmo,Hatchback/5
Mini,Cooper,1.5 Favoured,Hatchback/3
Hyundai,i20 Troy,1.4 CRDi Team,Hatchback/5
Toyota,Corolla,1.8 Hybrid Flame X-Pack,SUV
Skoda,SuperB,1.6 TDI Premium,Sedan
Peugeot,208,1.2 PureTech GT,Hatchback/5
Audi,A5,A5 Coupe 2.0 TDI,Coupe
Volkswagen,Passat Variant,1.6 TDi BlueMotion Comfortline,Station wagon
Peugeot,208,1.2 PureTech Active,Hatchback/5
Mercedes - Benz,S,S 350 350 BlueTEC,Sedan
Kia,Cerato,1.6 GSL Comfort,Sedan
Kia,Picanto,1.1 Hiper,Hatchback/5
Mini,Cooper,1.5 Pepper,Hatchback/3
Audi,A5,A5 Sportback 40 TDI Quattro Advanced,Hatchback/5
Hyundai,i20,1.4 CRDi Sense,Hatchback/5
Renault,Megane,1.5 dCi Sport Tourer Privilege,Station wagon
Hyundai,Accent,1.3 LX Allegro,Sedan
Volkswagen,Polo,1.4 TDi Comfortline,Hatchback/3
Opel,Agila,1.2 Comfort,Hatchback/5
Ford,Mondeo,2.5 Ghia,Sedan
Kia,Rio,1.4 CVVT Cool,Hatchback/5
Volvo,V50,1.6 D Dynamic,Station wagon
Hyundai,i10,1.2 D-CVVT 25.Yıl Özel Seri,Hatchback/5
Toyota,Corona,2.0 GLi,Sedan
Peugeot,207,1.6 VTi Premium,Hatchback/5
Opel,Astra,1.4 T Excellence,Hatchback/5
Opel,Astra,1.3 CDTI Elegance,Hatchback/5
Peugeot,206,1.4 X-Design,Hatchback/5
Opel,Astra,1.3 CDTI Enjoy Elegance,Hatchback/5
Hyundai,i20,1.4 CRDi Elite,Hatchback/5
Toyota,Yaris,1.3 Sol,Hatchback/5
Renault,Megane,1.5 dCi Expression Plus,Hatchback/5
Porsche,Taycan,4 Cross Turismo,Station wagon
Opel,Astra,1.3 CDTI Enjoy Plus,Hatchback/5
Renault,Megane,1.6 dCi GT-Line,Hatchback/5
Skoda,Octavia,1.5 e-Tec Elite,Hatchback/5
Volkswagen,Jetta,1.4 TSi Trendline,Sedan
Audi,A3,A3 Cabrio 1.4 TFSI Ambiente,-
Renault,Megane,1.2 TCe Touchrome,Hatchback/5
Mercedes - Benz,E,200 Elegance,Sedan
Peugeot,206+,1.4 Urban Move,Hatchback/5
Ford,B-Max,1.6 TDCi Titanium,MPV
Toyota,Auris,1.4 D-4D Comfort,Hatchback/5
Hyundai,Accent Era,1.5 CRDi Team,Sedan
Renault,Symbol,1.5 dCi Touch,Sedan
Volvo,S90,2.0 D B5 Plus Bright,Sedan
Chevrolet,Cruze,1.6 WTCC Edition Plus,Sedan
Hyundai,Matrix,1.6 Style,MPV
Hyundai,Accent Blue,1.4 CVVT Mode Plus,Sedan
Toyota,Auris,1.6 Advance,Station wagon
Honda,City,1.4 Sport,Sedan
Volkswagen,Golf,1.6 FSi Sportline,Hatchback/5
Seat,Ibiza,1.6 Reference,Hatchback/5
Volvo,S60,2.0 D Advance,Sedan
Skoda,Fabia,1.4 Classic,Station wagon
Skoda,Rapid,1.2 TSI Spaceback Ambition,Hatchback/5
Maserati,Ghibli,2.0,Sedan
Lada,Vega,1.6,Sedan
Kia,Cerato,1.6 LX Basic,Sedan
Volvo,S60,2.0 T Sports,Sedan
Audi,A3,A3 Sportback 2.0 TDI Standart,Hatchback/5
